"","","","","","","",""
"Prevalence of malaria in children","Nutrition","Eastern Central","","","2014","according to microscopy","36"
"Prevalence of malaria in children","Nutrition","Karamoja","","","2014","according to microscopy","48"
"Prevalence of malaria in children","Nutrition","North Eastern","","","2014","according to microscopy","27"
"Prevalence of malaria in children","Nutrition","South - Western","","","2014","according to microscopy","4"
"Prevalence of malaria in children","Nutrition","Mid - Northern","","","2014","according to microscopy","19"
"Prevalence of malaria in children","Nutrition","Uganda","","12 - 17 Months","2014","according to microscopy","12"
"Prevalence of malaria in children","Nutrition","Uganda","","6 - 8 Months","2014","according to microscopy","7"
"Prevalence of malaria in children","Nutrition","Uganda","","9 - 11 Months","2014","according to microscopy","14"
"Prevalence of malaria in children","Nutrition","Uganda","","18 - 23 Months","2014","according to microscopy","16"
"Prevalence of malaria in children","Nutrition","Kampala","","","2014","according to microscopy","0"
"Prevalence of malaria in children","Nutrition","Kampala","","","2014","according to microscopy","3"
"Prevalence of malaria in children","Nutrition","Uganda","","Under 6 Months","2014","according to microscopy","7"
"Prevalence of malaria in children","Nutrition","Uganda","","24 - 35 Months","2014","according to microscopy","22"
"Prevalence of malaria in children","Nutrition","Mid - Eastern","","","2014","according to microscopy","13"
"Prevalence of malaria in children","Nutrition","Mid - Western","","","2014","according to microscopy","17"
"Prevalence of malaria in children","Nutrition","West - Nile","","","2014","according to microscopy","27"
"Prevalence of malaria in children","Nutrition","Central","","","2014","according to RDT","13"
"Prevalence of malaria in children","Nutrition","Mid - Northern","","","2014","according to RDT","34"
"Prevalence of malaria in children","Nutrition","Uganda","","Under6 Months","2014","according to RDT","10"
"Prevalence of malaria in children","Nutrition","Uganda","","18 - 23 Months","2014","according to RDT","30"
"Prevalence of malaria in children","Nutrition","Uganda","","24 - 35 Months","2014","according to RDT","34"
"Prevalence of malaria in children","Nutrition","Uganda","","9 - 11 Months","2014","according to RDT","28"
"Prevalence of malaria in children","Nutrition","Uganda","","36 - 47 Months","2014","according to RDT","32"
"Prevalence of malaria in children","Nutrition","Uganda","Female","","2014","according to RDT","29"
"Prevalence of malaria in children","Nutrition","Uganda","","","2014","according to RDT","10"
"Prevalence of malaria in children","Nutrition","Uganda","","","2014","according to RDT","33"
"Prevalence of malaria in children","Nutrition","Central 2","","","2014","according to RDT","33"
"Prevalence of malaria in children","Nutrition","Eastern Central","","","2014","according to RDT","49"
"Prevalence of malaria in children","Nutrition","Kampala","","","2014","according to RDT","3"
"Prevalence of malaria in children","Nutrition","Mid - Western","","","2014","according to RDT","17"
"Prevalence of malaria in children","Nutrition","Mid - Eastern","","","2014","according to RDT","26"
"Prevalence of malaria in children","Nutrition","North Eastern","","","2014","according to RDT","55"
"Prevalence of malaria in children","Nutrition","South - Western","","","2014","according to RDT","5"
"Prevalence of malaria in children","Nutrition","West - Nile","","","2014","according to RDT","51"
"Prevalence of malaria in children","Nutrition","Karamoja","","","2014","according to RDT","68"
"Prevalence of malaria in children","Nutrition","Uganda","","48 - 59 Months","2014","according to RDT","36"
"Prevalence of malaria in children","Nutrition","Uganda","Male","","2014","according to RDT","30"
"Prevalence of malaria in children","Nutrition","Uganda","","12 - 17 Months","2014","according to RDT","25"
"Prevalence of malaria in children","Nutrition","Uganda","","6 - 8 Months","2014","according to RDT","16"
"Prevalence of malaria in children","Nutrition","Kampala","","","2014","according to RDT","5"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","Male","","2013","Pharmacotherapy","6"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","Female","","2013","Pharmacotherapy","1"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","15 24 Years","2013","Pharmacotherapy","0"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","25 - 44 Years","2013","Pharmacotherapy","2"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","45 64 Years","2013","Pharmacotherapy","3"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","65+ Years","2013","Pharmacotherapy","0"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","","2013","Pharmacotherapy","2"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","","2013","Pharmacotherapy","6"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","Male","","2013","Counseling/Advice","13"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","Female","","2013","Counseling/Advice","9"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","15 24 Years","2013","Counseling/Advice","0"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","25 - 44 Years","2013","Counseling/Advice","8"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","45 64 Years","2013","Counseling/Advice","22"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","65+ Years","2013","Counseling/Advice","0"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","","2013","Counseling/Advice","13"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","","2013","Counseling/Advice","12"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","Male","","2013","Quit without assistance","76"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","Female","","2013","Quit without assistance","71"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","15 24 Years","2013","Quit without assistance","0"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","25 - 44 Years","2013","Quit without assistance","81"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","45 64 Years","2013","Quit without assistance","71"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","65+ Years","2013","Quit without assistance","0"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","","2013","Quit without assistance","67"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","","2013","Quit without assistance","79"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","Male","","2013","Other","16"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","Female","","2013","Other","16"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","15 24 Years","2013","Other","0"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","25 - 44 Years","2013","Other","15"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","45 64 Years","2013","Other","10"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","65+ Years","2013","Other","19"
"Percentage of smokers made a quit attempt in the past 12 months and used various cessation methods for their last quit attempt","Nutrition","Uganda","","","2013","Other","14"
"Average number of nets per household (treated or untreated)","Nutrition","Eastern","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","Eastern Central","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","Karamoja","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","North","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","West - Nile","","","2011","","2"
"Average number of nets per household (treated or untreated)","Nutrition","South - West","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","Uganda","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","Central","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","Central 2","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","Western","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","Uganda","","","2011","","1"
"Average number of nets per household (treated or untreated)","Nutrition","Kampala","","","2011","","1"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","6 - 11 Months","2011","","43"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","12 - 23 Months","2011","","37"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","24 - 35 Months","2011","","22"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","36 - 47 Months","2011","","14"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","48 - 59 Months","2011","","10"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","Male","","2011","","24"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","","2011","","21"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","","2011","","23"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Kampala","","","2011","","24"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Central","","","2011","","22"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Central 2","","","2011","","20"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Eastern Central","","","2011","","31"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Eastern","","","2011","","32"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Karamoja","","","2011","","20"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","North","","","2011","","23"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","West - Nile","","","2011","","18"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Western","","","2011","","18"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","South - West","","","2011","","14"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","Female","","2011","","22"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","Under 6 Months","2011","","19"
"Percentage of children who received  basic vaccinations at any time before the survey","Nutrition","Uganda","","12 - 23 months","2011","","52"
"Percentage of children who received ACT","Nutrition","Uganda","","","2011","","69"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Female","","2011","Other anti-malarial","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","Under 12 Months","2011","SP Fansidar","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","12 - 23 Months","2011","SP Fansidar","5"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","24 - 35 Months","2011","SP Fansidar","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","36 - 47 Months","2011","SP Fansidar","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","48 - 59 Months","2011","SP Fansidar","4"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Male","","2011","SP Fansidar","4"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Female","","2011","SP Fansidar","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","SP Fansidar","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","SP Fansidar","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Kampala","","","2011","SP Fansidar","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central","","","2011","SP Fansidar","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central 2","","","2011","SP Fansidar","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern Central","","","2011","SP Fansidar","7"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern","","","2011","SP Fansidar","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Karamoja","","","2011","SP Fansidar","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","West - Nile","","","2011","SP Fansidar","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Western","","","2011","SP Fansidar","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","South - West","","","2011","SP Fansidar","6"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","< 12 Months","2011","Chloroquine","6"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","12 - 23 Months","2011","Chloroquine","4"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","24 - 35 Months","2011","Chloroquine","7"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","36 - 47 Months","2011","Chloroquine","5"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","48 - 59 Months","2011","Chloroquine","5"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Male","","2011","Chloroquine","5"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Female","","2011","Chloroquine","6"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Chloroquine","4"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Chloroquine","5"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Kampala","","","2011","Chloroquine","4"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central 2","","","2011","Chloroquine","6"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern Central","","","2011","Chloroquine","12"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern","","","2011","Chloroquine","4"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Karamoja","","","2011","Chloroquine","7"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","North","","","2011","Chloroquine","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","West - Nile","","","2011","Chloroquine","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Western","","","2011","Chloroquine","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","South - West","","","2011","Chloroquine","13"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","< 12 Months","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","12 - 23 Months","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","24 - 35 Months","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","48 - 59 Months","2011","Chloroquine with Fansidar","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Male","","2011","Chloroquine with Fansidar","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Female","","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Chloroquine with Fansidar","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Chloroquine with Fansidar","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Kampala","","","2011","Chloroquine with Fansidar","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central","","","2011","Chloroquine with Fansidar","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central 2","","","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern Central","","","2011","Chloroquine with Fansidar","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern","","","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Karamoja","","","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","North","","","2011","Chloroquine with Fansidar","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","West - Nile","","","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Western","","","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","South - West","","","2011","Chloroquine with Fansidar","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","< 12 Months","2011","Coartem/ACT","60"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","12 - 23 Months","2011","Coartem/ACT","71"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","24 - 35 Months","2011","Coartem/ACT","69"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","36 - 47 Months","2011","Coartem/ACT","72"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","48 - 59 Months","2011","Coartem/ACT","67"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Female","","2011","Coartem/ACT","67"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Coartem/ACT","70"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Coartem/ACT","68"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Kampala","","","2011","Coartem/ACT","79"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central","","","2011","Coartem/ACT","74"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central 2","","","2011","Coartem/ACT","65"
